input_text	target_text	Flag
C++ C Net	.Net And C++ Programming Language	Hard skill
Architecture Net	.Net Programming Language	Hard skill
Application Development C Net	.Net Programming Language	Hard skill
C And Net Development Technologies	.Net Programming Language	Hard skill
Development Net	.Net Programming Language	Hard skill
Developpement Net	.Net Programming Language	Hard skill
Connaissances Net C	.Net Programming Language	Hard skill
2010 Vb Net	Vb.Net Programming Laguage	Hard skill
Dev Net	.Net Programming Language	Hard skill
Developpemet Net Angular	.Net/Angular Programming Language	Hard skill
Computer Skills Microsoft Office	Microsoft Office	Hard skill
2D Animation	2D Animation	Hard skill
2D Animation Cartoon Animator	2D Animation	Hard skill
2D Digital Animation	2D Animation	Hard skill
2D Art	2D Art	Hard skill
2D Computer Aided Drafting And Design	Drafting And Design	Hard skill
2D Digital Art	2D Digital Art	Hard skill
2D Drafting	2D Drafting	Hard skill
2D Drawing	2D Drawing	Hard skill
2D Drawings	2D Drawing	Hard skill
2D Drawings Creo	2D Drawing	Hard skill
2D Web Visualization Technologies	Web Visualization	Hard skill
3D Cad Software	Cad	Hard skill
2D Cad Drawing	Cad	Hard skill
360 Photography Virtual Tours	Virtual Tours	Hard skill
3D 4D Abdominal	3D Abdominal	Hard skill
2D 3D Animation	3D Animation	Hard skill
2D And 3D Animation	3D Animation	Hard skill
3D	3D Animation	Hard skill
3D Animating	3D Animation	Hard skill
3D Animation	3D Animation	Hard skill
3D Animation Maya	3D Animation	Hard skill
2D And 3D Art	3D Art	Hard skill
3D Art	3D Art	Hard skill
3D Autocad	Autocad	Hard skill
3D Cad Design	Cad	Hard skill
3D Cad	Cad	Hard skill
3D Cfd	Cfd	Hard skill
3Dvia Composer	Composer	Hard skill
2D And 3D Design	3D Design	Hard skill
3D Design	3D Design	Hard skill
3D Infography And Design	3D Design	Hard skill
Design En 3D	3D Design	Hard skill
Design For Cost	Not A Skill	Hard skill
Design Oo	Not A Skill	Hard skill
Design Skill	Not A Skill	Hard skill
Design Skills	Not A Skill	Hard skill
Design Workshops	Not A Skill	Hard skill
Designbuilder	Not A Skill	Hard skill
Designe	Not A Skill	Hard skill
Designing Learning	Not A Skill	Hard skill
Designs	Not A Skill	Hard skill
Desing	Not A Skill	Hard skill
2020 Design	Not A Skill	Hard skill
2D Design	2D Design	Hard skill
3D Engine	3D Engine	Hard skill
3D Engine Development	3D Engine	Hard skill
3Dequalizer	3D Equalizer	Hard skill
3D Face Recognition	Face Recognition	Hard skill
3D Flashanimator	Flash Animator	Hard skill
3D Front Face Fluorescence Spectroscopy	Spectroscopy	Hard skill
3D Game Developpement	Game Developpement	Hard skill
3D Imaging	Not A Skill	Hard skill
3D Bioprinting	Bioprinting	Hard skill
3D Model	3D Model Analysis	Hard skill
3D Model Analysis	3D Model Analysis	Hard skill
2D Animator	Animator	Hard skill
3D Animator	Animator	Hard skill
3D Modelling	3D Modelling	Hard skill
And 3D Mod	Not A Skill	Hard skill
Design Thinking And 3D Modeling	Not A Skill	Hard skill
3D Modeling And Animation	3D Modeling And Animation	Hard skill
3D Modeling And Rendering	3D Modeling And Rendering	Hard skill
3D Modeling Animation	Animation	Hard skill
3D Modeling Maya	Maya	Hard skill
2D 3D Modeling	3D Modeling	Hard skill
2D 3D Modelling	3D Modeling	Hard skill
2D 3D Module	3D Modeling	Hard skill
2D And 3D Modeling	3D Modeling	Hard skill
2D And 3D Modelling	3D Modeling	Hard skill
2D Modeling	3D Modeling	Hard skill
3D Modeling	3D Modeling	Hard skill
3D Models	3D Modeling	Hard skill
3 D Printing	3D Printing	Hard skill
3D Print	3D Printing	Hard skill
3D Printer	3D Printing	Hard skill
3D Printers	3D Printing	Hard skill
3D Printing	3D Printing	Hard skill
